v4,v6,v8,v9,v10,v13,v15,v16,tiempo,rul,ciclo,id
1.27027705791045E-41,86.5,160.717025756836,250.699996948242,180.170135498047,109.620658874512,86.5,87.0999984741211,20.4971166666667,70,1,1
8.71607644810036E-42,85,150.673614501953,237.300003051758,174.50520324707,106.000434875488,88.5,88.6999969482422,30.0084333333333,69,1,2
8.96046290027861E-41,84.5,151.843765258789,234.300003051758,166.600692749023,103.837669372559,88,88,25.17345,68,1,3
5.21002769035967E-42,83,148.839706420898,238.300003051758,169.375,102.108940124512,86.5,86.9000015258789,26.67295,67,1,4
4.43777210667026E-41,81.5,158.738433837891,252,178.123260498047,102.302513122559,82.5,82.9000015258789,18.0047666666667,66,1,5
7.7114855790259E-41,83.5,154.201400756836,236.899993896484,172.979156494141,104.085502624512,83.5,83.6999969482422,20.3392833333333,65,1,6
2.90713379408827E-41,82,161.907989501953,237.199996948242,188.847229003906,103.085502624512,80,80.0999984741211,14.0036666666667,64,1,7
5.21002769035967E-42,82,159.635437011719,238.300003051758,178.715286254883,104.880210876465,81.5,81.9000015258789,23.1733333333333,63,1,8
3.69368262211379E-41,81.5,154.125595092773,251.899993896484,171.131958007813,102.651473999023,82,82.1999969482422,18.6696666666667,62,1,9
1.49882883744182E-41,81.5,156.307891845703,238,174.460067749023,103.988716125488,82,82,18.83695,61,1,10
6.35096490001294E-41,82,149.125595092773,256,163.25520324707,101.663192749023,84,84,25.1735,60,1,11
5.21002769035967E-42,81,149.563095092773,236.199996948242,171.460067749023,100.891929626465,83.5,83.6999969482422,24.5062666666667,59,1,12
7.01532050194933E-41,80.5,139.270263671875,257,164.72917175293,97.6514739990234,83.5,84.1999969482422,31.1736666666667,58,1,13
6.78144378825352E-41,78.5,140.317138671875,259.799987792969,172.780380249023,96.2716979980469,82,82.1999969482422,25.8386166666667,57,1,14
8.34403170582212E-41,79,130.270263671875,265.600006103516,136.48698425293,93.5004348754883,83,82.9000015258789,40.3413833333333,56,1,15
3.30047827302424E-41,80.5,116.324371337891,246.199996948242,117.34895324707,92.6440963745117,82,82.4000015258789,75.6861666666667,55,1,16
3.2632037338732E-41,79,118.358512878418,244,121.970489501953,93.1749114990234,80,80.5999984741211,64.0145,54,1,17
8.03042110950623E-41,78.5,113.154228210449,241.399993896484,132.375,91.5355911254883,79.5,79.6999969482422,73.6821666666667,53,1,18
3.69368262211379E-41,75,135.257537841797,253,144.90625,93.2174453735352,77.5,77.6999969482422,27.8391666666667,52,1,19
9.19532052289945E-42,73,146.823516845703,258.200012207031,159.8828125,94.0004348754883,75.5,75.9000015258789,20.17095,51,1,20
6.63262589134222E-41,74.5,130.615173339844,248.300003051758,173.18359375,91.9227447509766,77.5,78.3000030517578,36.67505,50,1,21
3.22606932456859E-41,73.5,137.968185424805,259.600006103516,151.991317749023,94.2716979980469,77,77,26.0064,49,1,22
8.34403170582212E-41,72.5,148.487289428711,258.200012207031,173.461807250977,95.04296875,74,74.0999984741211,17.83655,48,1,23
